,,,,,,,,,,
국어,수학,영어,한국사,사회,과학,과학탐구실험,정보,체육,음악,미술
"주제 통합 독서 활동에서 ‘위험한 숫자들(사너 블라우)’을 읽고 서평을 작성함. 작품에서 인간의 빅데이터에 대한 의존성을 경계해야 한다는 내용에 깊이 공감하며, 개인정보 보호의 문제, 사회적 불평등 등의 빅데이터의 문제점에 대해 인식하고 그것을 극복하기 위해 노력하는 태도가 필요하다는 인식을 드러냄. 나이팅게일의 숫자를 이용한 의료 체계의 개혁을 바탕으로 설득에 있어서 도표와 같은 통계자료의 중요성을 내면화하게 됨. 또한 숫자의 주관성에 대해 알게 되면서 자신이 평소에 수집된 데이터, 통계자료의 숫자만을 보고 무의식적으로 평가하고 있지는 않았는지 반성하는 자세를 보임. AI가 대체할 수 없는 ‘사회적 기술이 많이 요구되는 직업’에 관심을 가져 간호사, 중등 교사, 경찰관 등의 직업을 탐구하고 보고서를 작성함. 탐구 활동을 통해 사람들 간의 면대면 소통의 중요성에 대해 알고 자신이 꿈꾸는 직업과도 관련이 있음을 깨달음. 이를 바탕으로 사회적 기술이 많이 요구되는 직업에 종사하는 사람들의 인터뷰를 찾아보는 등 관련 지식을 탐구하려는 구체적인 계획을 세우는 적극적인 태도를 보임.","항상 바른자세로 임하는 모습이 돋보임. 복소수와 허수에 대해 심도있게 탐구하여 발표함. 전기공학, 양자역학, 컴퓨터 그래픽스, 디지털신호처리 등에서 복소수가 핵심적인 역할을 한다는 점을 발견하여 발표함. 특히 스마트폰과 같은 일상기기에서 복소수가 활용됨이 매우 신기하게 다가옴. 함수로 그림 그리기 활동에서는 무리함수와 유리함수로 쫑긋한 귀를 표현한 점이 인상적인 '이상한 나라의 토끼' 캐릭터를 그림. 독서활동을 통해 몸무게와 약 복용량 간의 관계, 심리학의 망각곡선과 현재 학습하는 유리함수와의 관련성을 발견하고 학습에서의 복습의 중요성을 깊이 깨달음. 수업시간에 배운 외분점을 이용하여 선분의 외분점을 구함. 집합의 결합법칙, 분배법칙을 벤다이어그램을 이용하여 성립함을 정당화함. 문제 만들기 활동에서는 수선의 발의 좌표를 구하는 문제를 만들고 이를 풀이함. 점의 좌표와 직선의 기울기를 변경하여 점에서 직선으로 내린 수선의 발의 좌표에 관하여 탐구함. 조별 문제풀이에서는 맡은 문제를 풀고 나머지 문제에 대해 자신의 의견을 설명하여 논리적 근거를 보완함. 조원들과 토의를 통해 명료하고 논리적으로 답안을 작성하려는 모습이 돋보임.","How-to'에세이 활동에서 알약을 쉽게 복용할 수 있는 방법 3가지를 다룬 에세이를 작성하고 발표함.  (2학기)영어: 글의 주제와 요지를 파악하는 데 뛰어나 본문 내용을 깔끔하게 요약정리하는 것을 잘하며 영어 구사능력이 원어민 수준에 버금갈 정도로 우수하여 대부분의 학습활동에서 두각을 나타내어 실력을 뽐냄. 자신의 의견을 다양한 형용사를 사용하여 매우 구체적으로 표현함. 영어로 하는 말하기, 쓰기 활동에 자신의 특기와 학습 스타일을 살려 수업 활동에 열심히 참여함. 영어로 하는 발표 활동에서 얼굴 표정이 밝고 감수성이 풍부하여 표정이나 몸짓 등의 비언어적 표현들을 적극 활용하며 흥미진진하고 독창적인 아이디어로 친구들의 호응을 얻음. 독해 능력이 우수하여 묻고 답하거나 요약하는 모둠 활동에서 언제나 주도적으로 참여함.","영화로 살펴보는 한국사 수업에 참여하여, 5.18민주화운동을 심층 탐구함. 이후 인공지능을 이용하여 태극기를 형상화한 상징물을 제작하였으며, 특히 태극기의 음양표시에 양의 위치에 헌혈을, 음의 위치에 나눔과 협력의 손길을 배치하고, 태극기 그 자체로 당시 시민들이 애국심으로 민주화를 외쳤던 순간을 형상화한 결과물을 제작함. 역사적 사실에 의미를 부여하는 능력이 탁월하며, 역사적 상상력을 발휘하여 감정이입을 통해 다른 사람들에게 공감대를 형성할 수 있는 상징물을 고안해 냄. 인공지능을 활용하여 1910년대 무단통치를 배경으로 한 6컷 만화를 제작하였으며, 이 과정에서 무단통치와 이후 3.1운동이 일어나게 되는 전개 과정을 일목요연하게 이야기를 전개했으며, 역사적 사실을 역사 콘텐츠화하는 역량을 구비하고 이를 실현함. 인물로 바라보는 한국사 프로젝트 중 '김옥균은 개혁의 선구자인가 혹은 실패한 혁명가인가?'를 논제로 설정하여 토론 개요서를 작성함. 외세에 의존해 결과적으로 실패한 개혁이 되어 혼란을 야기한 점은 간과할 수 없다고 밝힘. 사료 분석을 통해 인민 평등권 확립 시도 등 다양한 개혁을 추진하며 이후 근대화 운동에 발판을 마련한 인물이라는 평가를 제시한 점이 인상적임.","1년간 학습 포트폴리오를 성실하게 작성하며 수업내용을 체계적으로 정리‧복습하여 자기주도 학습역량을 꾸준히 발전시킴. 환경보호의 중요성을 인식하고 ‘전기 절약하기’를 주제로 한 포스터 제작활동에 참여함. 포스터에서 안 쓰는 전자제품의 코드를 뽑고 전원을 꺼서 전기를 절약해야 한다는 메시지를 효과적으로 전달하며, 일상생활에서 실천할 수 있는 구체적이고 현실적인 에너지 절약방법을 제안함. 수업시간에 적극적으로 발표와 토론에 참여하며, 과제수행 과정에서 주제와 관련된 자료를 탐구‧분석하는 등 성실한 태도로 학습에 임함. 수업에 성실히 임하며 교사질문에 능동적으로 답하고, 갤러리워크 활동에서는 팀을 이끌며 역할분배 및 창의적 아이디어로 방향제시하며 결과물 완성도를 높였으며, 해설자로서 작품을 명확히 전달하며 조율능력과 소통역량을 발휘한 학생임. '기회비용 분석하기' 활동에서 아이스크림 구매를 주제로 A와 B가게를 비교하며 선택의 순편익을 분석함. 다리가 아프고 쉬는 시간이 줄어드는 비용을 감수하더라도 추가구매가 가능하다는 점에서 가격이 저렴한 B가게를 선택하며 합리적 소비를 실천함. 이 과정에서 자원활용의 효율성과 선택결과를 분석하는 논리적사고력을 발휘함.","원소 표현하기 활동을 통해 원소 주기율표에서의 주기성을 밝히고, 동족에서 주기적 성질이 같은 이유를 원자가 전자 개수를 이용해 설명함. 알루미늄의 명칭이 Aluminum으로 확정하는 과정을 IUPAC(국제 순수 응용화학 연맹)의 자료를 근거로 들어 제시하고, 알루미늄이 사용된 역사적 사건을 통해 현대사에서 화학이 갖는 가치를 발표함으로써 과학적 의사 소통 역량이 돋보임. 알루미늄의 화학적, 물리적 성질을 통해 금속 결합 물질의 특징을 제시하고, 금속의 강도를 높이기 위한 방안으로 합금을 논하고, 합금이 상용화된 사례를 발표함으로써 과학적 사고력이 보임. 유전자에 생명 시스템 유지에 필요한 정보가 저장되어 있다는 개념을 깊이 이해하고 있으며 변이와 자연 선택에 의한 진화 원리를 바탕으로 항생제 및 살충제 내성 세균 집단 형성 과정에 대해 논리적으로 설명할 수 있음. 자연 선택이 과학과 인문학에 미친 영향을 탐구하기 위해 ‘다윈의 정원'을 읽으며 다윈의 자연 선택 이론이 현대 사회에서 어떻게 재해석되고 있는지 고민함. 특히 인공지능 알고리즘이 자연 선택적 원리를 활용하여 학습 데이터를 통해 최적화된다는 점에 주목하며 자연 선택 개념의 확장 가능성에 대해 깊이 있는 통찰을 보여줌.",신소재 신문 만들기 활동을 통해 맥신과 바이오 센서를 조사해 발표함. 맥신에 대하여 가상 인터뷰를 제작하여 학생들이 맥신의 발견하게 된 계기와 특징에 대해 쉽게 이해할 수 있도록 함. 평소 화학에 관심이 있어 맥신의 특징은 더 자세하게 설명함. 맥신의 특징 중 전기 전도도가 높은 특성과 전자파 차단 능력을 설명하며 활용할 수 있는 방식에 대하여 함께 설명함. 산성화된 호수 중화하기 실험을 통해 산성 용액을 중화하기 위한 석회 가루를 넣는 양과 방법을 설정하여 실험을 스스로 설계하여 실험할 수 있음. 수평으로 던진 물체와 자유 낙하 운동하는 물체를 영상으로 촬영하여 공통점을 찾고 그 이유를 분석함. 베르누이 정리를 이해하여 날개 없는 선풍기의 구조와 원리를 설명함. 원형 고리 내부 모양이 비행기 날개 모양처럼 만들어진 이유를 이해함. 종이컵을 이용하여 마그누스 효과를 확인하는 실험을 수행함. 파스퇴르의 생물 속생설 도출 실험을 수행함. 이를 통해 과학은 기존 이론을 수정 보완하면서 점진적으로 발전하지만 때로는 기존 이론과 다른 새로운 이론으로 대체되는 패러다임의 전환을 통해서도 발전하기도 한다는 것과 귀납적 탐구 방법과 연역적 탐구 방법을 비교하여 설명할 수 있음.,"인터넷 상에서 윤리적 문제와 법적 규제에 대해 알게 되고, 정보 공유, 올바른 활용, 정보를 다룰 때의 윤리적 측면과 그 정보가 단순한 개인적 지식에 그치지 않고, 사회적 문제를 해결하거나 새로운 가치를 창출할 수 있는 가능성에 대해 깊이 생각하게 됨. 피지컬 컴퓨팅 시스템 알티노를 이용해 LED에 다양한 그림을 그리거나 순차적으로 불빛을 켜는 간단한 프로그래밍 작업을 통해 컴퓨터 프로그램이 어떻게 설계되고, 일상에서 사용하는 다양한 기술들이 어떻게 작동하는지 이해하는 데 큰 도움이 됨. 프로그래밍의 기본 원리를 배우고, 파이선 언어로 랜덤 함수를 이용하여 발표 순서 정하기, 복불복 간식 선택하기 프로그램을 작성하면서 조금만 신경 쓰면 생활에 필요한 프로그램을 작성할 수 있다는 자신감을 가짐. 임시 기억 장치를 활용하여  두 기억 장치의 값을 교환하는 프로그래밍을 간결하고 효율적으로 변환할 방법을 통해 코드 작성 시 불필요한 반복을 줄이고 더 간단하게 작업을 처리할 수 있는 능력을 키우게 됨. 이러한 다양한 실습과 학습을 통해 미래의 정보 사회에 적극적으로 참여하고 기여할 수 있는 능력을 발전시키고자 하는 의지를 다지게 되었다고 발표함.","빅발리볼 경기에서 수비 능력이  뛰어나 팀원들과 승리하는데 적극적임. 배구 경기에서 언더핸드 서브 리시브가 우수한 편이며 모둠원들과 함께 구호를 외치며 최선을 다한 결과 모둠별 리그전에서 좋은 성적을 거둠.",음악에 대한 열정이 강하고 어려운 것을 피하지 않고 해결하려는 의지가 돋보임. 드럼 수업 과정에서 선생님을 도와 자신이 먼저 습득한 기술을 친구들에게 가르쳐주며 베푸는 모습을 보임. 음악에 대한 이해나 습득이 빠르며 기성 음악을 자기화하여 편곡하는 능력이 있음. 이탈리아 민요 ‘오 솔레 미오’를 친구들 앞에서 부르기 전 칸초네의 특징을 파악하고 직접 동영상을 찾아보는 등의 노력을 하였음. 특히 이탈리아어 발음을 익히고자 노력하는 모습에서 주어진 문제에 대해 정확하고 올바르게 접근하고 해결하려는 끈기를 볼 수 있었음. 또한 뮤지컬에 관한 영상을 보고 단순히 영상을 시청하는 것에서 그치지 않고 뮤지컬과 오페라의 차이점을 구분하기 위한 자료를 찾아보고 지식을 체계화하는 모습이 학구적이었고 뮤지컬을 이해하고자 하는 적극적인 태도를 통해 문제에 열정으로 대처하는 자세를 보임.,"다양한 발상기법을 활용한 '자화상'제작에서 '잎들'이라는 제목의 작품을 통해 간호사라는 꿈과 가치관을 창의적으로 표현함. 잎은 치유와 보호를 상징하며, 복수형을 사용해 협력과 조화를 강조함. 홍채 대신 '나는 안전합니다'라는 꽃말의 솜방망이꽃을 그려 넣어 간호사로서의 따뜻함과 책임감을 드러냄. 진로에 대한 열정과 협력의 중요성을 감성적으로 전달함. '공익적 메시지를 담은 상품 디자인'에서 음식물 쓰레기를 줄이고 식습관 개선을 독려하기 위해 브로콜리 모양의 식판을 디자인함. 친환경 이미지를 활용해 경각심을 높이고 디자인 과정에서 모둠원 간의 의견을 조율하며 작품의 완성도를 높인 점이 돋보임. 뒤샹의 '샘'과 마우리치오 카텔란의 '코미디언'을 비교하며 두 작품이 일상적인 물건을 예술로 재해석한 방식을 분석함. 샘은 소변기를 통해 예술의 경계를 확장했고, 코미디언은 바나나를 사용해 소비사회를 풍자했다고 평가함. '오브제를 활용한 미술'에서는 '이브의 꿈'이라는 제목으로 스템플러 심으로는 굴뚝을, 태블릿으로 집을 표현하며 눈 내리는 밤 산타가 선물을 주는 장면을 동화적으로 재구성함. 일상적 소재로 따뜻한 추억을 창의적인 재료 해석으로 담아내는 독창성을 발휘함."
,,,,,,,,,,
자율,동아리,진로,행특,개인,진로희망,,,,,
"1학기 부반장(2024.03.01.-2024.08.15.)역할을 맡아 학급에서 솔선수범하는 모습을 보이며 봉사하는 모습을 보임. 학급임원선출(2024.03.18.)을 통해 다양한 의견을 존중하고 소통하는 방법을 배우며, 협력의 가치를 실감하게 됨. 학급자치회의(2024.03.25.)를 통해 민주적인 의사결정 과정의 중요성을 깨닫고, 서로의 의견을 존중하며 협력하는 자세를 기름. 하나되는 OO인 체육한마당(2024.04.18.-2024.04.19.)에서 팀워크를 통해 목표를 달성하는 경험을 하며, 공동의 목표를 위해 함께 노력하는 것이 얼마나 중요한지를 이해함. 현장체험학습(수학여행) 안전교육(2024.04.29.)에서 낯선 환경에서의 안전 수칙 준수의 중요성과 집단 활동 시 안전에 대한 책임감을 배우고 느낌으로써, 공동체 의식을 함양하고 안전한 여행을 위한 협력적인 태도를 갖추게 됨. OO대 전공 알림아리 진로체험(2024.06.27.) 참여를 통해 자신의 강점과 약점을 객관적으로 분석하고, 미래 사회 변화에 대한 적응력을 높일 수 있는 진로 설계 전략을 세움. 전문직업인초청 진로특강(2024.07.11.)을 통해 직업에 대한 열정과 책임감을 느끼고, 자신의 꿈을 이루기 위해 필요한 노력을 다짐하는 계기가 됨.","(CIT(화학동아리))(25시간) 카페인 추출 실험을 통해 카페인의 분자 구조를 제시하고, 이를 기반으로 하여 다양한 유기 화합물의 작용기와 그의 특징을 논함. 다양한 혼합물 분리 방법을 과학적 원리를 기반으로 하여 설명하고, 해당 실험의 혼합물 분리 방법인 용해도 차이에 따른 분리 방법의 하나인 용매 추출법의 원리를 입자 모형을 이용해 제시함으로써 과학적 사고력이 돋보임. 시금치 색소 분리 실험을 통해 다양한 기기 분석법을 제시하고, 크로마토그래피의 원리를 이해하기 쉽게 현상학적 측면에서 제시함으로써 과학적 태도 중 적극성이 돋보임. 특히, 얇은 막 크로마토그래프(TLC)에서의 정지상인 실리카겔과 이동상인 헥세인과 아세톤 혼합물의 극성을 비교하고, 이를 통해 머무름 인자 차이를 올바르게 추론함으로써 과학적 탐구 능력이 보임. 바이타민-C 적정 실험을 통해 실험에서 사용된 부피 측정 기구를 제시하고, 부피 측정 기구별 사용 용도를 올바르게 설명함. 메니스커스의 차이를 용매인 물, 에탄올, 수은을 이용하여 정리하고, 해당 메니스커스를 올바르게 측정하는 방법을 제시함. 바이타민-C와 아이오딘의 반응을 통해 산화 환원 반응을 설명하고, 뷰렛을 이용하여 부피 적정법(Titration)의 정의를 설명함.","전공 알림아리 진로체험(2024.06.27.)에서 간호사 관련한 학과에 대해 깊이 있게 알게 되었고 자신의 장점인 의사소통능력이 간호사라는 직업의 필수요소임을 알게 됨. 의생명특강(2024.06.05.)듣고 난 후 생명과학 분야 과학자는 다양한 생명체의 특성을 연구하고 생명체가 에너지를 이용하는 물질대사, 생명체를 가장 작은 단위에서 생물과 비생물의 중간이나 바이러스, 유전자가 전달되고 발현되는 방법, 일상생활에 과학 이론을 적용해서 약의 원리를 파악하는 연구에 대해 알게됨. 줄기세포에 대해서는 줄기세포를 이용하여 치료할 때 줄기세포는 재생과 도움의 역할을 한다는 것을 알고 줄기세포를 이용한 치료에 관심을 가지게 되면서 생명 연구원에 대한 깊은 관심을 가지게 됨. 과학수학페스티벌(2024.09.20.)에 참가하여 다양한 과학적 원리와 수학적 개념을 탐구함. 이 과정에서 문제 해결 능력을 기르고, 팀원들과 협력하여 프로젝트를 완수하는 경험을 통해 소통의 중요성을 깨달음. 의생명학과 탐방(2024.12.20.)강의에서 생명과학 연구자의 역할과 과학자가 필요한 윤리의식 중 인권 윤리 의식, 연구 윤리 의식, 생명 윤리 의식과 이 의식들이 존재하지 않았던 시기에 수행된 비윤리적인 인체실험들에 대해 알았고 이 실험들 이후 피실험자의 인권을 회복하기 위한 노력에 대해 알게됨. 프로그램에서 몸에 붙이는 진정 패치 만들기 실험을 진행함. 물에 녹으면 점성이 있는 알긴산나트륨의 성질을 이용하여 알긴산나트륨 용액과 형광 단백질을 섞어 패치를 만드는 과정을 통해 생명연구에 깊은 관심을 가지게됨.",부반장 역할을 통해 리더십을 발휘하며 성실하고 꾸준한 학습 태도를 지니고 있음. 밝은 성격으로 주변 친구들에게 긍정적인 영향을 미치며 학습에 대한 열정이 남다름. 수업 중 집중력이 높고 적극적으로 참여하여 의견을 명확하게 표현하는 능력이 뛰어남. 어려운 문제를 만나도 포기하지 않고 끈기 있게 해결하려는 노력으로 동료들에게 본보기가 됨. 과제 수행 시 철저한 준비와 성실한 자세로 임하여 높은 완성도를 자랑하며 동료들과 협력하는 과정에서도 배려를 잊지 않음. 갈등 상황에서도 침착하게 대처하며 서로의 입장을 이해하고 조율하는 능력이 뛰어나 친구들 사이에서 신뢰를 받음. 밝은 성격 덕분에 교우관계가 원만하며 친구들에게 긍정적인 에너지를 전파하는 역할을 함. 수업 외에도 친구들을 도와주려는 마음가짐이 강하여 공동 과제 수행 시 리더십을 발휘하여 팀의 분위기를 좋게 만듦. 자기 주도적 학습 능력이 뛰어나 스스로 목표를 설정하고 이를 달성하기 위해 꾸준히 노력하는 모습이 인상적임. 이러한 태도는 친구들에게 긍정적인 영향을 미치며 함께 성장할 수 있는 환경을 조성하는 데 기여함.,프로젝트 활동을 통해 축제기획라는 팀을 맡아 지역축제의 목적과 기능을 이해하고 지역의 특성을 고려한 축제 홍보물을 만듦. 지역 주민들의 의견을 수렴하여 축제의 주제와 프로그램을 개발하고 지역 사회의 참여를 유도함. 이를 통해 지역 주민들의 자긍심과 결속력을 높임. 다양한 문화 프로그램을 통해 지역 주민들의 문화적 향유를 촉진함. 이러한 활동을 통해 지역 사회의 발전과 화합을 이룸.,생명 연구원,,,,,
,,,,,,,,,,
학 기,교 과,과 목,학점수,"원점수/과목평균
 (표준편차)","성취도
 (수강자수)",석차등급,,,,
1,국어,국어,3,84/67.2(14.2),A(114),2,,,,
,1수학,수학,4,72/58.9(18.2),A(114),4,,,,
,1영어,영어,4,81/55.6(25.0),B(114),3,,,,
,1한국사,한국사,3,89/63.3(15.6),A(114),2,,,,
